"Your payment is complete","تمت عملية الدفع بنجاح"
"Kindly, contact the site admin to set weight and dimensions for %1","الرجاء التواصل مع مدير الموقع لإضافة الوزن و الأبعاد الخاصة بالمنتج %1"
"Redirect to Cart Page","إعادة التوجيه لصفحة السلة"
"Redirect to Checkout Onepage Failure Page","إعادة التوجيه لصفحة فشل الدفع"
"Redirect to MyFatoorah Invoice Page","إعادة التوجيه لصفحة ماي فاتورة للدفع"
"List All Enabled Gateways in Checkout Page","سرد جميع طرق الدفع المفعلة في صفحة الدفع"
DHL,DHL
Aramex,"أرامكس"
"Warning: MyFatoorah Shipping is disabled","تحذير: تم إيقاف ماي فاتورة للشحن"
"MyFatoorah: Not all of your products are available in the requested quantity.","ماي فاتورة: لا تتوافر الكمبة المطلوبة للمنتجات في هذا الطلب."
"How would you like to pay?","كيف تريد أن تدفع ؟"
"Pay With","دفع من خلال"
"Place Order","إنهاء الطلب"
"Or ","أو "
"Insert Card Details","إدخال بيانات البطاقة"
"Field %1 is required.","الحقل %1 مطلوب."
"Card details are invalid or missing!","بيانات البطاقة ناقصة أو غير صحيحة!"
"Name On Card","اسم صاحب البطاقة"
"Card Number","رقم البطاقة"
"MM / YY","YY / MM"
CVV,CVV
"MyFatoorah Payment","ماي فاتورة للدفع"
Enabled,"مفعل"
Title,"العنوان"
"Vendor's Country","بلد البائع"
"Is Testing?","نظام الإختبار"
"API Token Key","رمز التكامل"
"Save Card Information","حفظ بيانات البطاقة"
"List Invoice Items","عرض عناصر الطلب"
"List Payment Options","قائمة خيارات الدفع"
"Apple Pay Embedded","عرض زر أبل باي"
"Order Status","حالة الطلب"
"Webhook Secret Key","مفتاح الويب هوك السري"
"Payment Failure Page","الرابط الخاص بفشل الدفع"
"Automatic Invoice","إنشاء فاتورة"
"Email Customer","إرسال بريد للمشتري"
"Sort Order","ترتيب العرض"
"MyFatoorah Shipping","ماي فاتورة للشحن"
"Method Type","طريقة الشحن"
"Ship to Applicable Countries","تفعيل الشحن إلى دول معينة"
"Ship to Specific Countries","الشحن إلى البلدان التالية"
"Show Method if Not Applicable","إظهار طريقة الشحن حتى إذا لم يكن قابلاً للتطبيق"
"Displayed Error Message","إظهار رسالة خظأ"
"AUTHENTICATION_FAILED.","فشلت المصادقة"
"INSUFFICIENT_FUNDS.","رصيد غير كاف"
